Foundation URI,Linearization URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,ChapterNo,BrowserLink,isLeaf,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5
http://id.who.int/icd/entity/1647929877,http://id.who.int/icd/release/11/mms/1647929877,SK55,,- - - - Weakness of thighs due to vata disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK0,,
,http://id.who.int/icd/release/11/mms/627880448/other,SK5Y,,"- - - - Other specified head, brain, nerve and movement disorders (TM2)",category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK0,,
,http://id.who.int/icd/release/11/mms/627880448/unspecified,SK5Z,,"- - - - Head, brain, nerve and movement disorders (TM2), unspecified",category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK0,,
http://id.who.int/icd/entity/823901578,http://id.who.int/icd/release/11/mms/823901578,,BlockL3-SK6,"- - - Eye, ear, nose, throat and neck disorders (TM2)",block,3,False,26,browser,False,,BlockL1-SK0,BlockL2-SK0,,,
http://id.who.int/icd/entity/1249767098,http://id.who.int/icd/release/11/mms/1249767098,,BlockL4-SK6,- - - - Eye disorders (TM2),block,4,False,26,browser,False,,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/244158019,http://id.who.int/icd/release/11/mms/244158019,SK60,,- - - - - Ocular hyperemia disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1064158914,http://id.who.int/icd/release/11/mms/1064158914,SK61,,- - - - - Prolapse iris disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1704704031,http://id.who.int/icd/release/11/mms/1704704031,SK62,,- - - - - Blepharitis disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/300338510,http://id.who.int/icd/release/11/mms/300338510,SK63,,- - - - - Day blindness disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1332826861,http://id.who.int/icd/release/11/mms/1332826861,SK64,,- - - - - Night blindness disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/569157910,http://id.who.int/icd/release/11/mms/569157910,SK65,,- - - - - Cataract disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
